"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","normandie.aract.fr/91.134.128.85","443","INFO","HTTP","",""
"pre_128cipher","normandie.aract.fr/91.134.128.85","443","INFO","No 128 cipher limit bug","",""
"SSLv2","normandie.aract.fr/91.134.128.85","443","OK","not offered","",""
"SSLv3","normandie.aract.fr/91.134.128.85","443","OK","not offered","",""
"TLS1","normandie.aract.fr/91.134.128.85","443","LOW","offered (deprecated)","",""
"TLS1_1","normandie.aract.fr/91.134.128.85","443","LOW","offered (deprecated)","",""
"TLS1_2","normandie.aract.fr/91.134.128.85","443","OK","offered","",""
"TLS1_3","normandie.aract.fr/91.134.128.85","443","INFO","not offered + downgraded to weaker protocol","",""
"ALPN","normandie.aract.fr/91.134.128.85","443","INFO","not offered","",""
"cipherlist_NULL","normandie.aract.fr/91.134.128.85","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","normandie.aract.fr/91.134.128.85","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","normandie.aract.fr/91.134.128.85","443","OK","not offered","","CWE-327"
"cipherlist_LOW","normandie.aract.fr/91.134.128.85","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","normandie.aract.fr/91.134.128.85","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","normandie.aract.fr/91.134.128.85","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","normandie.aract.fr/91.134.128.85","443","OK","offered","",""
"cipherlist_STRONG_FS","normandie.aract.fr/91.134.128.85","443","OK","offered","",""
"cipher_order-tls1","normandie.aract.fr/91.134.128.85","443","OK","server","",""
"cipherorder_TLSv1","normandie.aract.fr/91.134.128.85","443","INFO","ECDHE-RSA-AES128-SHA","",""
"cipher_order-tls1_1","normandie.aract.fr/91.134.128.85","443","OK","server","",""
"cipherorder_TLSv1_1","normandie.aract.fr/91.134.128.85","443","INFO","ECDHE-RSA-AES128-SHA","",""
"cipher_order-tls1_2","normandie.aract.fr/91.134.128.85","443","OK","server","",""
"cipherorder_TLSv1_2","normandie.aract.fr/91.134.128.85","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","normandie.aract.fr/91.134.128.85","443","OK","server","",""
"FS","normandie.aract.fr/91.134.128.85","443","OK","offered","",""
"FS_ciphers","normandie.aract.fr/91.134.128.85","443","INFO","DHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES128-SHA256 DHE-RSA-AES128-SHA DHE-RSA-AES256-GCM-SHA384 DHE-RSA-AES256-SHA256 DHE-RSA-AES256-SHA ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES128-SHA256 ECDHE-RSA-AES128-SHA ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384 ECDHE-RSA-AES256-SHA","",""
"FS_ECDHE_curves","normandie.aract.fr/91.134.128.85","443","OK","prime256v1","",""
"TLS_extensions","normandie.aract.fr/91.134.128.85","443","INFO","'server name/#0' 'renegotiation info/#65281' 'EC point formats/#11' 'heartbeat/#15'","",""
"TLS_session_ticket","normandie.aract.fr/91.134.128.85","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","normandie.aract.fr/91.134.128.85","443","INFO","yes","",""
"sessionresumption_ticket","normandie.aract.fr/91.134.128.85","443","INFO","not supported","",""
"sessionresumption_ID","normandie.aract.fr/91.134.128.85","443","INFO","not supported","",""
"TLS_timestamp","normandie.aract.fr/91.134.128.85","443","INFO","random","",""
"cert_compression","normandie.aract.fr/91.134.128.85","443","INFO","N/A","",""
"clientAuth","normandie.aract.fr/91.134.128.85","443","INFO","none","",""
"cert_numbers","normandie.aract.fr/91.134.128.85","443","INFO","1","",""
"cert_signatureAlgorithm","normandie.aract.fr/91.134.128.85","443","OK","SHA256 with RSA","",""
"cert_keySize","normandie.aract.fr/91.134.128.85","443","OK","RSA 4096 bits (exponent is 65537)","",""
"cert_keyUsage","normandie.aract.fr/91.134.128.85","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","normandie.aract.fr/91.134.128.85","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","normandie.aract.fr/91.134.128.85","443","INFO","037B1B2A72CE14FC983DA1596D5C6806A8FC","",""
"cert_serialNumberLen","normandie.aract.fr/91.134.128.85","443","INFO","18","",""
"cert_fingerprintSHA1","normandie.aract.fr/91.134.128.85","443","INFO","ABD1A74B7C5680256CA22D9BAC934460DC99EAC4","",""
"cert_fingerprintSHA256","normandie.aract.fr/91.134.128.85","443","INFO","2BD008A538DAE8564C90918717AA588CC5911BD8FC3FBA6F0DC14F5803A44AD5","",""
